kepid,pl_name,lit_duration,lit_depth_ppm,cat_duration,cat_depth_ppm,est_duration,est_duration_err,est_depth_ppm,est_depth_err
10130039,Kepler-334 c,4.088,191.4,4.134,194.2,4.101703,0.096350834,169.99985,4.73731
10130039,Kepler-334 b,3.041,106.5,3.119,106.6,3.021531,0.1270837,106.76447,2.7675517
10130039,Kepler-334 d,2.767,196.7,2.754,177.8,2.7260296,0.061460912,177.70839,1.8281422
10132832,Kepler-1186 b,2.237,591.9,2.23,510.5,2.2631016,0.10996503,450.48517,19.371744
10154388,Kepler-744 b,2.1007,303.2,2.07,293.9,1.976203,0.07765868,270.92374,5.9344463
10187159,Kepler-989 b,1.498,746.0,1.496,761.4,1.4562626,0.058600903,698.0379,16.089094
10227020,Kepler-223 d,6.1191,781.8,6.166,822.6,5.751722,0.19172163,763.2211,18.16355
10227020,Kepler-223 e,7.202,577.9,9.02,579.3,7.4767346,0.36097616,469.08118,19.316261
10227020,Kepler-223 c,5.7471,436.7,5.763,395.4,5.672953,0.16785954,310.56522,3.0999036
10227020,Kepler-223 b,5.7351,349.79999999999995,5.922,343.3,5.6073937,0.19442575,271.956,9.280955
10265898,Kepler-656 b,1.8742,1130.7,1.329,298.9,1.6986282,0.12760304,1076.9741,49.378925
10265898,Kepler-656 c,3.078,168.99999999999997,2.838,169.0,2.7759187,0.10342651,166.47523,11.606259
10266615,Kepler-587 b,2.2868,538.6,2.327,562.5,2.2415555,0.095784694,512.67084,8.717771
10386922,Kepler-511 b,16.2231,2810.0000000000005,16.46,2783.0,15.778452,0.29492575,2681.0967,68.10606
10386922,Kepler-511 c,7.8308,492.79999999999995,7.866,489.1,7.786111,0.13122797,469.78925,11.508801
10453588,Kepler-1253 b,5.95,144.5,6.074,144.8,5.846225,0.3482555,154.09453,7.898645
10552611,Kepler-141 c,2.986,348.40000000000003,3.105,335.2,2.9934142,0.06390449,306.79004,8.294931
10552611,Kepler-141 b,2.218,77.4,2.226,84.13,2.2364345,0.077461526,67.25183,1.788
10585738,Kepler-1415 b,1.0604,217.9,1.262,138.5,1.4098905,0.038941413,121.504234,5.2701983
10591855,Kepler-1367 b,1.5994,224.9,1.445,195.4,1.3614609,0.057163246,235.57726,5.0498843
10653179,Kepler-1453 b,4.059,816.1,4.232,778.8,3.6005063,0.23805,596.0796,55.079067
10854555,Kepler-664 b,1.5882,603.3000000000001,1.56,595.4,1.6111875,0.053068127,567.9389,7.53976
10858832,Kepler-552 b,2.1778,1066.8,2.01,1032.0,1.9833047,0.053159192,1004.9506,21.524172
10874614,Kepler-6 b,3.59385,10814.1,3.584,10830.0,3.3824003,0.0852047,10219.082,253.36412
10875245,Kepler-107 e,6.117,420.49999999999994,6.09,416.5,5.9520235,0.1461818,427.67807,10.894793
10875245,Kepler-107 b,3.633,121.89999999999999,3.536,119.4,3.4918,0.17282744,115.22779,2.319938
10875245,Kepler-107 c,4.269,139.6,4.164,134.3,4.0664062,0.14872155,139.23526,4.354623
10875245,Kepler-107 d,4.384,58.300000000000004,4.504,51.89,4.6236377,0.2703719,50.41628,3.1428843
10879038,Kepler-918 b,2.799,196.4,3.008,192.8,2.70015,0.096435934,189.81252,2.9183674
10925104,Kepler-114 d,2.9021,1429.1000000000001,2.902,1447.0,2.6956859,0.08792479,1483.126,33.395916
10925104,Kepler-114 c,2.6319,590.4,2.661,579.6,2.5861595,0.065543264,580.8497,19.31191
10925104,Kepler-114 b,2.435,353.6,2.472,328.6,2.3136375,0.107458055,319.22446,6.623105
11030475,Kepler-1813 b,1.7758,370.3,1.794,335.2,1.726725,0.10151416,284.47906,6.936731
11074835,Kepler-1270 b,10.264,89.5,9.857,82.28,9.610576,0.25142786,85.903755,3.2439177
11122894,Kepler-297 c,4.794,4119.2,4.187,4057.0,4.056156,0.042649843,3704.3757,88.15413
11122894,Kepler-297 d,4.3823,4319.7,4.408,4312.0,3.2199063,0.15856215,3760.018,179.97145
11122894,Kepler-297 b,6.125,1004.9,7.729,971.2,6.0624347,0.40388834,995.6778,46.419556
11129258,Kepler-1381 b,3.638,585.0,3.702,569.5,3.5168998,0.16699721,518.83386,30.864521
11177707,Kepler-841 b,3.6612,4107.0,3.956,4112.0,3.3842344,0.18232068,3945.9578,187.99744
11236244,Kepler-1246 b,3.027,283.6,3.023,284.0,3.0206382,0.07703693,277.22928,5.188422
11250587,Kepler-464 b,4.8639,463.2,4.898,452.0,4.7870293,0.09635038,459.46365,12.414725
11259686,Kepler-512 b,5.8266,419.7,5.845,435.1,5.78107,0.17767955,412.5514,9.030758
11288051,Kepler-124 c,3.552,765.2,3.572,814.0,3.5078156,0.11892123,734.6217,14.372438
11288051,Kepler-124 d,4.196,301.4,4.32,344.7,4.1748753,0.15191251,316.80234,11.50321
11288051,Kepler-124 b,2.389,136.2,2.241,145.9,2.242751,0.0779835,129.60507,3.7931058
11336883,Kepler-853 b,4.5907,111.6,4.57,107.4,4.4271874,0.19292907,120.08852,1.9824508
11337372,Kepler-920 b,3.1164,771.9,3.333,792.0,3.1220837,0.118011825,688.5743,15.779758
11337372,Kepler-920 c,8.281,1778.8000000000002,8.152,1880.0,7.89725,0.1585806,1679.2461,39.12332
11337833,Kepler-921 b,6.987,581.4,5.382,496.2,5.356772,0.10587133,469.5866,11.916427
11450414,Kepler-347 b,6.244,336.6,6.134,330.8,6.0477405,0.17318305,314.80945,3.7882297
11450414,Kepler-347 c,3.927,279.59999999999997,2.977,262.1,3.2258584,0.30798823,245.48729,8.708959
11450414,Kepler-347 d,9.331,270.2,8.38,283.7,8.137766,0.21375322,256.88458,9.86425
11453592,Kepler-1319 b,0.885,631.8,0.9101,604.5,0.8837924,0.051301636,525.03937,23.942049
11461844,Kepler-1207 b,4.163,179.6,4.157,195.1,3.8517203,0.17471063,175.25864,6.5606103
11465950,Kepler-1862 b,3.546,575.0,3.19,587.3,3.1426485,0.13659371,616.00336,29.867365
11495458,Kepler-1190 b,3.102,332.0,3.132,317.2,3.0194438,0.10305963,275.93008,10.134124
11497977,Kepler-571 b,2.9979,817.4,2.966,810.0,2.928925,0.05044874,760.4485,14.349915
11547505,Kepler-922 b,1.271,217.39999999999998,1.367,179.2,1.3413687,0.060733538,191.96225,4.363381
11560897,Kepler-430 b,2.839,269.7,2.734,275.7,2.5011828,0.07224396,246.22304,10.145341
11560897,Kepler-430 c,12.388,150.20000000000002,12.14,140.0,12.595251,0.5068598,136.6659,10.218574
11566256,Kepler-1831 b,1.3966,413.3,1.451,510.3,1.3784499,0.028089346,389.16635,12.268306
11614617,Kepler-1041 b,7.361,458.7,6.468,453.1,6.5185313,0.26738623,434.76572,10.327539
11622600,Kepler-991 b,4.8336,1895.3999999999999,4.858,1941.0,4.489855,0.15813294,1767.7222,56.634167
11670125,Kepler-1206 b,1.3101,459.8,1.33,464.7,1.361172,0.10164772,391.61868,19.887497
11705004,Kepler-1806 b,2.857,610.7,2.573,678.9,2.5931015,0.11703875,631.79865,17.818922
11754553,Kepler-52 b,2.4223,1461.6000000000001,2.255,1252.0,2.1123009,0.11979688,1191.2742,45.307884
11754553,Kepler-52 c,3.1252,1165.5,3.036,1099.0,2.8747125,0.10623247,965.7188,31.8231
11754553,Kepler-52 d,4.153,1155.6,3.942,1080.0,3.7572186,0.097874,929.7537,27.873774
11769890,Kepler-1036 b,8.281,717.7,7.907,734.2,7.1224775,0.26251897,658.4606,12.615449
11804465,Kepler-12 b,4.69813,16721.1,4.679,16490.0,4.382907,0.12631218,15847.639,382.43253
11807274,Kepler-50 c,2.06,159.0,2.238,119.4,2.1488297,0.116030924,118.75181,2.4677272
11807274,Kepler-50 b,3.8,99.00000000000001,3.859,89.4,3.8107624,0.114166684,90.36704,2.9430976
11853255,Kepler-674 b,1.0205,821.7,1.013,808.1,1.0003375,0.07471982,773.9481,37.44108
11853905,Kepler-4 b,3.98235,869.9999999999999,4.007,732.8,3.913086,0.06102407,712.0218,19.961336
11904151,Kepler-10 c,6.8714,476.8,6.954,487.0,6.774717,0.16171175,462.52393,14.246706
11904151,Kepler-10 b,1.811,191.89999999999998,1.544,12.53,1.7780125,0.078396976,187.06604,4.4660997
11954842,Kepler-883 b,3.4569,257.2,3.386,265.3,3.2881234,0.12311364,260.7768,7.672342
11962284,Kepler-1302 b,1.803,316.20000000000005,1.963,268.0,1.8740516,0.08036383,260.0502,14.335016
12020218,Kepler-870 b,5.905,640.1,6.076,685.1,5.786441,0.11172817,629.84973,10.818717
12110942,Kepler-680 b,2.6286,426.7,2.541,438.1,2.6025398,0.12081759,438.9571,4.6153827
12121570,Kepler-1816 b,4.842,704.8,4.845,728.8,4.6254606,0.08082882,577.4943,13.164486
12366084,Kepler-232 b,3.172,1010.9,3.154,1035.0,3.0973265,0.065006435,1003.0674,25.946743
12366084,Kepler-232 c,2.612,1023.5,2.764,1053.0,2.3429217,0.102655515,940.3256,24.098478
12453581,Kepler-1234 b,3.472,631.7,2.795,648.7,2.5722735,0.11851907,626.2124,22.036858
12600735,Kepler-596 b,4.0882,659.8,4.09,652.1,3.9909456,0.13683999,625.7378,19.522276
12644822,Kepler-682 b,5.1636,6105.6,5.234,6205.0,4.7760253,0.13782021,5994.327,173.38866
12834874,Kepler-574 b,3.0576,668.2,3.07,652.5,3.010039,0.082039185,626.2342,13.878761
